ID,Repeat,Init,Fin,Length (s),Song Name,Link,Comments,Singer,Language,Gender
OhriE8f_-sU,0,0,2.53,173,Hurt (Christina Aguilera),youtube.com/watch?v=OhriE8f_-sU,Only side view of the singer is captured in the video.,Andie Case,English,Female
1nN4l6-QUWs,0,0,1.27,87,Higher (Rihanna),youtube.com/watch?v=1nN4l6-QUWs,"shaky camera, the singer taking video like selfie",Andie Case,English,Female
3DOTgIHvrO8,0,0.04,3.33,209,Skyscraper (Demi Lovato),youtube.com/watch?v=3DOTgIHvrO8,,Andie Case,English,Female
6ZduCGreLJw,0,0,1.22,82,Perfect (Ed Sheeran),youtube.com/watch?v=6ZduCGreLJw,,Ryan Ilustrisimo,English,Male
zvYdAEXxvdc,0,0.01,1.39,98,Dying Inside (Darren Espanto),youtube.com/watch?v=zvYdAEXxvdc,,Ryan Ilustrisimo,English,Male
1UAXjz-HIoo,0,0.32,4.13,221,Perfect (P!nk),youtube.com/watch?v=1UAXjz-HIoo,,MusicalJuliet,English,Female
e5WrSOaJQpE,0,0,0.27,27,The Truth (India Arie),youtube.com/watch?v=e5WrSOaJQpE,weird view camera,Lauren Greco,English,Female
jePy_8rrLZg,0,0.01,0.26,25,What You Won't Do For Love (Bobby Caldwell),youtube.com/watch?v=jePy_8rrLZg,,Lauren Greco,English,Female
-nEvWAxCJXE,0,0,0.48,48,The Proud Family Theme Song (Solange),youtube.com/watch?v=-nEvWAxCJXE,,Lauren Greco,English,Female
KNiS1uetpOM,0,0,0.46,46,Don’t Let Go (En Vogue),youtube.com/watch?v=KNiS1uetpOM,,Lauren Greco,English,Female
tX_KQJYxLBw,0,0.39,1.48,69,On & On (Erykah Badu),youtube.com/watch?v=tX_KQJYxLBw,,Lauren Greco,English,Female
xb3aT72HqHY,0,0,1.5,110,At Your Best (Aaliyah),youtube.com/watch?v=xb3aT72HqHY,,Lauren Greco,English,Female
C2B9-93CYeY,0,0.29,3.32,183,Smooth Operator (Sade),youtube.com/watch?v=C2B9-93CYeY,,Lauren Greco,English,Female
v-rGIK-tf5g,0,0.02,2.17,135,Dangerous Woman (Ariana Grande),youtube.com/watch?v=v-rGIK-tf5g,Not stright view camera..slight angle view,Domenica Coka,English,Female
qRHAR9oQPDI,0,0.13,2.5,157,Stay With Me (Sam Smith),youtube.com/watch?v=qRHAR9oQPDI,,Samantha Brown,English,Female
UPsnE752le8,0,0.08,1.2,72,If I Ain't Got You (Alicia Keys),youtube.com/watch?v=UPsnE752le8,,BRIIA Cover,English,Female
9Hg8taR65ps,0,0.12,2.33,141,Fallin' (Alicia Keys),youtube.com/watch?v=9Hg8taR65ps,,Vanessa Armenio,English,Female
vgmIHHf5VTg,0,0.01,2.14,133,My Everything (Ariana Grande),youtube.com/watch?v=vgmIHHf5VTg,,Adiva Ramadhani,English,Female
v9NtsgLl9nk,0,0.05,2.42,157,Love Yourself (Justin Bieber),youtube.com/watch?v=v9NtsgLl9nk,,Charr Thompson,English,Female
wZgAIdcNQAE,0,0.04,2.38,154,Love Yourself (Justin Bieber),youtube.com/watch?v=wZgAIdcNQAE,,Ena ,English,Female
DUZ5n_T7Vng,0,0.02,3.32,210,Have Yourself A Merry Little Christmas (Judy Garland),youtube.com/watch?v=DUZ5n_T7Vng,,Marlisa,English,Female
8bS7PJPCKbc,0,0.01,2.05,124,Listen (Beyoncé),youtube.com/watch?v=8bS7PJPCKbc,,Roxana Matei,English,Female
aPpbYgSD1uE,0,0.04,0.38,34,Raindrops (Ariana Grande),youtube.com/watch?v=aPpbYgSD1uE,,Aname Rose,English,Female
DIcjwARKz6s,0,0.1,4.02,232,Rolling In The Deep (Adele),youtube.com/watch?v=DIcjwARKz6s,,Sarai Anneliese,English,Female
ppnYKYXu89k,0,0.34,4.33,239,Take Me to Church (Hozier),youtube.com/watch?v=ppnYKYXu89k,,Sarai Anneliese,English,Female
ZqmhjAOzuxQ,0,1.58,6.34,276,Hello (Adele),youtube.com/watch?v=ZqmhjAOzuxQ,,Sarai Anneliese,English,Female
KgMkazHDgEw,0,1.04,5.39,275,Lost Boy (Ruth B.),youtube.com/watch?v=KgMkazHDgEw,,Sarai Anneliese,English,Female
cuGBto2atPw,0,0.54,4.04,190,Hearts Ain’t Gonna Lie (Arlissa),youtube.com/watch?v=cuGBto2atPw,,Sarai Anneliese,English,Female
MBjelDoVEY0,0,0.35,3.45,190,Love is Love is Love (Leann Rimes),youtube.com/watch?v=MBjelDoVEY0,,Sarai Anneliese,English,Female
lVllexFDApY,0,1.01,5.21,260,Skyfall (Adele),youtube.com/watch?v=lVllexFDApY,,Sarai Anneliese,English,Female
WOujUqkpkHw,0,0.01,1.05,64,"Sad Song (We The Kings, Elena Coats)",youtube.com/watch?v=WOujUqkpkHw,video taken down,Abs Hasim,English,Male
veoXwjpHMLg,0,0.06,2.13,127,So Sick (Ne-Yo),youtube.com/watch?v=veoXwjpHMLg,,Kassandra Castaneda,English,Female
0dUl-hScztY,0,0.02,1.27,85,Hello (Adele),youtube.com/watch?v=0dUl-hScztY,,Kassandra Castaneda,English,Female
EQnwEiJC_cA,0,0.09,1.49,100,Hello (Adele),youtube.com/watch?v=EQnwEiJC_cA,,Zhanel,English,Female
YYsUJ5xBbQg,0,0.07,4.17,250,All Of Me (John Legend),youtube.com/watch?v=YYsUJ5xBbQg,,Zhanel,English,Female
6HHy2bf9mc8,0,0,3.21,201,Stay (Rihanna),youtube.com/watch?v=6HHy2bf9mc8,,Becky-Lou Hope,English,Female
BWLy0aoT7qY,0,0,1.04,64,"Titanium (David Guetta, Sia)",youtube.com/watch?v=BWLy0aoT7qY,,Becky-Lou Hope,English,Female
E-FGOqY6VhY,0,0.02,2.21,139,Teenage Dirtbag (Wheatus),youtube.com/watch?v=E-FGOqY6VhY,,Becky-Lou Hope,English,Female
DAliXjOUIm0,0,0.02,2.19,137,Moonlight (Ariana Grande),youtube.com/watch?v=DAliXjOUIm0,,Becky-Lou Hope,English,Female
xutyn4HbVus,0,0.02,3.19,197,"I Hate You, I Love You (Gnash, Olivia O'Brien)",youtube.com/watch?v=xutyn4HbVus,,Becky-Lou Hope,English,Female
h4xtIZII1H4,0,0.05,1.12,67,Royals (Lorde),youtube.com/watch?v=h4xtIZII1H4,,Becky-Lou Hope,English,Female
D8AtMRINqsU,0,0.02,0.48,46,You’re Still The One (Shania Twain),youtube.com/watch?v=D8AtMRINqsU,,Becky-Lou Hope,English,Female
W7dCxitkOXs,0,0.04,1.22,78,Honeymoon Avenue (Ariana Grande),youtube.com/watch?v=W7dCxitkOXs,,Lalita,English,Female
lypnfVpskng,0,0.46,3.15,149,We Don't Have to Take Our Clothes Off (Ella Eyre),youtube.com/watch?v=lypnfVpskng,,Lalita,English,Female
Gav-bE5uzy0,0,0.04,1.21,77,Bubbly (Colbie Caillat),youtube.com/watch?v=Gav-bE5uzy0,,Lalita,English,Female
kZPuTCk_Rq8,0,0.02,1.41,99,Together We Shall Fight COVID-19 (Benjamin Spartos),youtube.com/watch?v=kZPuTCk_Rq8,,Benjamin Spartos,English,Male
66_-SZymyJU,0,0.03,1.38,95,Angel By Your Side (Francesca Battistelli),youtube.com/watch?v=66_-SZymyJU,,Benjamin Spartos,English,Male
rHZ4fbSaTVA,0,0.04,0.28,24,Warrior (Benjamin Spartos),youtube.com/watch?v=rHZ4fbSaTVA,,Benjamin Spartos,English,Male
tvawEAiiYP4,0,0,0.35,35,"Somebody To You (The Vamps, Demi Lovato)",youtube.com/watch?v=tvawEAiiYP4,,Thara Cover,English,Female
rjzb3i3a_k4,0,0.02,0.49,47,"Despacito (Luis Fonsi, Daddy Yankee)",youtube.com/watch?v=rjzb3i3a_k4,,Thara Cover,Spanish,Female
r_tr8t5GtyY,0,0,0.43,43,Fetish (Selena Gomez),youtube.com/watch?v=r_tr8t5GtyY,,Thara Cover,English,Female
NyU0_qaMLoY,0,0.22,2.59,157,The Story (Brandi Carlile),youtube.com/watch?v=NyU0_qaMLoY,,Tawnee Kendall,English,Female
XISqPJaY-Rw,0,0.01,1.47,106,Sweet Dreams (Patsy Cline),youtube.com/watch?v=XISqPJaY-Rw,,Tawnee Kendall,English,Female
t5qq12-Cuuk,0,0,1.12,72,I Will Survive (Gloria Gaynor),youtube.com/watch?v=t5qq12-Cuuk,,Tawnee Kendall,English,Female
aLRJH--vjGk,0,0.02,2.55,173,Don't Speak (No Doubt),youtube.com/watch?v=aLRJH--vjGk,,Tawnee Kendall,English,Female
-llQDVBqW0g,0,0.01,0.57,56,Strange (Patsy Cline),youtube.com/watch?v=-llQDVBqW0g,,Tawnee Kendall,English,Female
5YUQn1f0kVg,0,0.02,2.51,169,Hello (Adele),youtube.com/watch?v=5YUQn1f0kVg,,Tawnee Kendall,English,Female
QFzJcuTfqvU,0,0.01,1.16,75,Sleeping To Dream (Jason Mraz),youtube.com/watch?v=QFzJcuTfqvU,,Tawnee Kendall,English,Female
Dkb8KebaSvg,0,0.02,1.43,101,Aint No Sunshine (Bill Withers),youtube.com/watch?v=Dkb8KebaSvg,,Tawnee Kendall,English,Female
wA0T8GCGKe0,0,0.01,2.05,124,House of the Rising Sun (The Animals),youtube.com/watch?v=wA0T8GCGKe0,,Tawnee Kendall,English,Female
fC6cPij68_Y,0,0.02,1.55,113,Take Me To Church (Hozier),youtube.com/watch?v=fC6cPij68_Y,,Tawnee Kendall,English,Female
e0SsUnq6kag,0,0.01,0.21,20,Fighter (Christina Aguilera),youtube.com/watch?v=e0SsUnq6kag,,Pedro Penetra,English,Male
HnnPAwV_Ju0,0,0.29,1.41,72,My Heart Will Go On (Celine Dion),youtube.com/watch?v=HnnPAwV_Ju0,,92lovetosing,English,Female
cnrPcj5Y6Rk,0,0,0.59,59,When You're Smiling (Louis Armstrong),youtube.com/watch?v=cnrPcj5Y6Rk,,Jordanbfsings,English,Male
7Q_y6YNpHlQ,0,0.15,2.1,115,Simple Enough (Never Shout Never),youtube.com/watch?v=7Q_y6YNpHlQ,,napisawesomeness,English,Female
OtrnRrNMM-k,0,0.2,2.28,128,The Thoughts That Give Me The Creeps (Hellogoodbye),youtube.com/watch?v=OtrnRrNMM-k,,napisawesomeness,English,Female
r2hKZKtNKdg,0,0.17,3.43,206,Isles & Glaciers (Cemetery Weather),youtube.com/watch?v=r2hKZKtNKdg,,napisawesomeness,English,Female
_54S74Ft13k,0,0.37,3.42,185,Thats What You Get (Paramore),youtube.com/watch?v=_54S74Ft13k,,napisawesomeness,English,Female
Z2XS8FHFVeI,0,0.06,2.44,158,Feeling Sorry (Paramore),youtube.com/watch?v=Z2XS8FHFVeI,,napisawesomeness,English,Female
kZaycxMOLlo,0,0.26,2.33,127,I've Given Up On You (Real Friends),youtube.com/watch?v=kZaycxMOLlo,,napisawesomeness,English,Female
0qF-yFQdOzU,0,0.22,3.17,175,Be Alright (Justin Bieber),youtube.com/watch?v=0qF-yFQdOzU,,napisawesomeness,English,Female
KzGk2hAtxVU,0,0.02,3.34,212,The Only Excpetion (Paramore),youtube.com/watch?v=KzGk2hAtxVU,,napisawesomeness,English,Female
NcmuGIf68eU,0,0.28,2.36,128,Seasons (Major League),youtube.com/watch?v=NcmuGIf68eU,,napisawesomeness,English,Female
QPK9KI_9jHs,0,0.38,4.14,216,Love Song (Sara Bareilles),youtube.com/watch?v=QPK9KI_9jHs,,napisawesomeness,English,Female
oZO-7g027a8,0,0.02,3.45,223,Someone Like You (Adele),youtube.com/watch?v=oZO-7g027a8,,napisawesomeness,English,Female
1WC-tmCDxY0,0,0.3,3,150,Rude (Magic!),youtube.com/watch?v=1WC-tmCDxY0,,napisawesomeness,English,Female
i5cQET9L0uI,0,0.38,4.59,261,Miserable At Best (Mayday Parade),youtube.com/watch?v=i5cQET9L0uI,,napisawesomeness,English,Female
4u1D2Fv5AEo,0,0.32,4,208,Say You Like Me (We The Kings),youtube.com/watch?v=4u1D2Fv5AEo,,napisawesomeness,English,Female
NCczxsevGBE,0,0.03,2.09,126,Skeletons (Real Friends),youtube.com/watch?v=NCczxsevGBE,,napisawesomeness,English,Female
eoiP57vIC3Q,0,0.07,2.12,125,"A Whole New World (Lea Salonga, Brad Kane)",youtube.com/watch?v=eoiP57vIC3Q,,napisawesomeness,English,Female
v_Y_aPmL3ms,0,0.2,2.54,154,Cheap Talk And Eager Lies (Real Friends),youtube.com/watch?v=v_Y_aPmL3ms,,napisawesomeness,English,Female
9I3GxuU1Y14,0,0.16,3.16,180,26 (Paramore),youtube.com/watch?v=9I3GxuU1Y14,,napisawesomeness,English,Female
Ar0-FckOgy4,0,0.03,2.54,171,Half A Heart (One Direction),youtube.com/watch?v=Ar0-FckOgy4,,Ileana Sanchez,English,Female
rMbw0fz2FmQ,0,0.03,2.47,164,Riptide (Vance Joy),youtube.com/watch?v=rMbw0fz2FmQ,,Ileana Sanchez,English,Female
54sxqvQcwiY,0,0.06,2.09,123,Put Your Head On My Shoulder (Paul Anka),youtube.com/watch?v=54sxqvQcwiY,,Ezra Del barrio,English,Female
OAQ2dsGZ3Ok,0,0.38,4.14,216,A Thousand Years (Christina Perri),youtube.com/watch?v=OAQ2dsGZ3Ok,,TinnyMariaMusic,English,Female
YoM-uS75cKM,0,0.37,4.06,209,Can You Feel The Love Tonight (Elton John),youtube.com/watch?v=YoM-uS75cKM,,TinnyMariaMusic,English,Female
Sr0hQ3rLj3k,0,0.05,3.39,214,"Come What May (Ewan McGregor, Nicole Kidman)",youtube.com/watch?v=Sr0hQ3rLj3k,,TinnyMariaMusic,English,Female
MayiUFzKcN0,0,0,0.36,36,Untitled (Tinny Maria),youtube.com/watch?v=MayiUFzKcN0,,TinnyMariaMusic,English,Female
cnNKdCaJ6wg,0,0.27,3.43,196,Stitches Cover (Shawn Mendes),youtube.com/watch?v=cnNKdCaJ6wg,,Jihan ufairoh,English,Female
U0LxJwXV0So,0,0.18,3.56,218,Sparks Fly (Taylor Swift),youtube.com/watch?v=U0LxJwXV0So,,Jihan ufairoh,English,Female
b_PlT6nyl54,0,0.03,3.38,215,Anji (Menunggu Kamu),youtube.com/watch?v=b_PlT6nyl54,,FirdaYanZa,Indonesian,Female
aBT49p_Wz5w,0,0.01,4.28,267,"Scarborough Fair (Paul Simon, Art Garfunkel)",youtube.com/watch?v=aBT49p_Wz5w,,castlebaymom,English,Female
Vu-GfTpBk2Y,0,0.02,2.09,127,So Sick (Ne-Yo),youtube.com/watch?v=Vu-GfTpBk2Y,Shaky camera,Tristan Garcia,English,Male
ah-osEK-ozg,0,0.01,0.59,58,Tearing Up My Heart (*NSYNC),youtube.com/watch?v=ah-osEK-ozg,,Tristan Garcia,English,Male
5iTDDxRHdrQ,0,0.2,2.57,157,I Don't Ever Wanna See You Again (Uncle Sam),youtube.com/watch?v=5iTDDxRHdrQ,,Derenzo,English,Male
Xn_r4JVQnRw,0,0.21,1.1,49,Listen (Beyoncé),youtube.com/watch?v=Xn_r4JVQnRw,,Derenzo,English,Male
Iiy28d3EZeU,0,0.14,1.2,66,The Greatest Love Of All (Whitney Houston),youtube.com/watch?v=Iiy28d3EZeU,,Derenzo,English,Male
DdcU6jXzFWo,0,0.12,1.25,73,Hurt (Christina Aguilera),youtube.com/watch?v=DdcU6jXzFWo,,Derenzo,English,Male
fMNyn-TzRlQ,0,0.11,1.52,101,Derenzo - Karina Pasian - 16 @ war,youtube.com/watch?v=fMNyn-TzRlQ,,Derenzo,English,Male
b6Y4ozsw2PI,0,0.12,4.35,263,I Will Always Love You (Whitney Houston),youtube.com/watch?v=b6Y4ozsw2PI,,Derenzo,English,Male
5m18arMdatE,0,0.12,2.28,136,Hurt (Christina Aguilera),youtube.com/watch?v=5m18arMdatE,,deannamilkie,English,Female
lHv-UycajJU,0,0.19,2.36,137,Somewhere Over The Rainbow (Judy Garland),youtube.com/watch?v=lHv-UycajJU,,deannamilkie,English,Female
y7rYCF-FWBA,0,0.12,2.33,141,Nasty Naughty Boy (Christina Aguilera),youtube.com/watch?v=y7rYCF-FWBA,,deannamilkie,English,Female
ilC1GSiME9c,0,0.03,3.23,200,"Michael Jackson RIP / Chris Cornell - ""Billie Jean"" by deanna milkie",youtube.com/watch?v=ilC1GSiME9c,,deannamilkie,English,Female
wIE_CfPOfd4,0,1.01,5.34,273,I'm Back!!! Save the World (Saving the World remix),youtube.com/watch?v=wIE_CfPOfd4,,Joebromini,English,Male
dsIo2IoE1Ms,0,1.03,4.15,192,The Climb (Miley Cyrus),youtube.com/watch?v=dsIo2IoE1Ms,,Joebromini,English,Male
JuszOjBZm_4,0,0.59,3.39,160,For a while - an original,youtube.com/watch?v=JuszOjBZm_4,,Joebromini,English,Male
0B9AQwKzxYM,0,0.59,4.06,187,Just The Way You Are (Bruno Mars),youtube.com/watch?v=0B9AQwKzxYM,,Joebromini,English,Male
H84rEz_v1Ho,0,0.46,3.35,169,Life Of The Party (Shawn Mendes),youtube.com/watch?v=H84rEz_v1Ho,,Joebromini,English,Male
Okim_5EVrmY,0,1.2,4.23,183,A Disney Medley!!!!,youtube.com/watch?v=Okim_5EVrmY,,Joebromini,English,Male
qHJ3lx0HpQk,0,1.26,4.59,213,This is who i'm meant to be!!!! An original song,youtube.com/watch?v=qHJ3lx0HpQk,,Joebromini,English,Male
T4gaL-zo8EI,0,2.11,5.3,199,Disney Channel's Austin & Ally medley!!!!!!!!!,youtube.com/watch?v=T4gaL-zo8EI,,Joebromini,English,Male
kbb33ttNr7U,0,2.15,6.22,247,Let me love you - an original song!!!!!,youtube.com/watch?v=kbb33ttNr7U,,Joebromini,English,Male
gCw7BGb0uBU,0,0.48,3.52,184,Soundtrack To Summer by Titanium,youtube.com/watch?v=gCw7BGb0uBU,,Joebromini,English,Male
5Vjxa2KtzJQ,0,1.58,5.49,231,The Greatest Showman medley (cover of medley by Anthem Lights),youtube.com/watch?v=5Vjxa2KtzJQ,,Joebromini,English,Male
GQ57rNz2IDc,0,0.29,4.46,257,O holy night!!! An Acapella cover,youtube.com/watch?v=GQ57rNz2IDc,,Joebromini,English,Male
UeVR8mXl328,0,0.35,5.29,294,Your beautiful to me - an original song!,youtube.com/watch?v=UeVR8mXl328,,Joebromini,English,Male
TKxdRXpDvyo,0,2.14,6.24,250,Amazing Grace!!!!,youtube.com/watch?v=TKxdRXpDvyo,,Joebromini,English,Male
JaeZ3-fa0B8,0,0.36,3.49,193,Black Box (Stan Walker),youtube.com/watch?v=JaeZ3-fa0B8,,Joebromini,English,Male
F1unKaSHJLk,0,0.56,4.07,191,Magical Love - an original song,youtube.com/watch?v=F1unKaSHJLk,,Joebromini,English,Male
psVJUcAFhlo,0,2.35,5.22,167,Bless The Broken Road (Rascal Flatts),youtube.com/watch?v=psVJUcAFhlo,,Joebromini,English,Male
b_EtNKjR81I,0,1.46,5.18,212,Be with you - an original song,youtube.com/watch?v=b_EtNKjR81I,,Joebromini,English,Male
5pqxLJLmlOo,0,0.44,3.4,176,On My Way (Phil Collins),youtube.com/watch?v=5pqxLJLmlOo,,Joebromini,English,Male
GpWnPzDn9Ms,0,0.45,4.04,199,Falling for you - R5,youtube.com/watch?v=GpWnPzDn9Ms,,Joebromini,English,Male
yeqEXT8vTGQ,0,0.59,3.4,161,Austin & Ally - Superhero (a cover),youtube.com/watch?v=yeqEXT8vTGQ,,Joebromini,English,Male
VoK95nYHjbU,0,0.01,1.21,80,I'll Be There (Mariah Carey/MJ Acapella Cover) by Mikey Bustos,youtube.com/watch?v=VoK95nYHjbU,,Mikey Bustos,English,Male
nZm2NhJO-mM,0,2.29,5.44,195,Grenade (Raw Acapella Full Song) by Mikey Bustos (Bruno Mars rules!),youtube.com/watch?v=nZm2NhJO-mM,,Mikey Bustos,English,Male
MSxnNw1nvhA,0,0.06,1.44,98,"""The Way You Make Me Feel"" Acapella Michael Jackson cover - Mikey Bustos",youtube.com/watch?v=MSxnNw1nvhA,,Mikey Bustos,English,Male
tNyL7IoMhDk,0,0.24,1.4,76,Hard To Say I'm Sorry (acapella) - Chicago cover by Mikey Bustos,youtube.com/watch?v=tNyL7IoMhDk,,Mikey Bustos,English,Male
JWGCIpWa3r8,0,0.03,1.2,77,"""Grenade"" Bruno Mars cover - Acapella Live by Mikey Bustos",youtube.com/watch?v=JWGCIpWa3r8,,Mikey Bustos,English,Male
qZeaGIsSfCk,0,0.03,2.17,134,With A Little Help From My Friends (Beatles/Joe Cocker Live Acapella Cover) by Mikey Bustos,youtube.com/watch?v=qZeaGIsSfCk,,Mikey Bustos,English,Male
LjnG25VY4sw,0,0.06,1.11,65,Heal The World (Michael Jackson Live Acapella Cover) by Mikey Bustos,youtube.com/watch?v=LjnG25VY4sw,,Mikey Bustos,English,Male
em89OGbkbI4,0,0.01,1.43,102,Whitney Houston live acapella cover by Mikey Bustos,youtube.com/watch?v=em89OGbkbI4,,Mikey Bustos,English,Male
vsqWB6l8vk4,0,0.04,1.33,89,NSYNC Throw Back (Live acapella cover by Mikey Bustos),youtube.com/watch?v=vsqWB6l8vk4,,Mikey Bustos,English,Male
4qpV_ERgSJw,0,0.03,1.54,111,Ready For Love (Live Acapella Cover) by Mikey Bustos,youtube.com/watch?v=4qpV_ERgSJw,,Mikey Bustos,English,Male
zZ1uOjfyXII,1,0.1,0.42,32,Disney Relief with Mikey Bustos,youtube.com/watch?v=zZ1uOjfyXII,,Mikey Bustos,English,Male
zZ1uOjfyXII,1,0.45,1.1,25,Disney Relief with Mikey Bustos,youtube.com/watch?v=zZ1uOjfyXII,,Mikey Bustos,English,Male
zZ1uOjfyXII,1,1.15,2.05,50,Disney Relief with Mikey Bustos,youtube.com/watch?v=zZ1uOjfyXII,,Mikey Bustos,English,Male
zZ1uOjfyXII,1,3.23,3.36,13,Disney Relief with Mikey Bustos,youtube.com/watch?v=zZ1uOjfyXII,,Mikey Bustos,English,Male
zZ1uOjfyXII,1,3.38,4.1,32,Disney Relief with Mikey Bustos,youtube.com/watch?v=zZ1uOjfyXII,,Mikey Bustos,English,Male
zZ1uOjfyXII,1,6.16,6.19,3,Disney Relief with Mikey Bustos,youtube.com/watch?v=zZ1uOjfyXII,,Mikey Bustos,English,Male
hAMGCbjXs8w,0,0.09,1.35,86,His eye is on the sparrow cover acapella,youtube.com/watch?v=hAMGCbjXs8w,,Julia Broderick,English,Female
HXc8xIxETzg,1,0.24,0.31,7,I'll make love to you - Boyz II men RIFF BREAKDOWN (HOW TO SING RIFFS AND RUNS),youtube.com/watch?v=HXc8xIxETzg,,Julia Broderick,English,Female
HXc8xIxETzg,1,0.56,1.3,34,I'll make love to you - Boyz II men RIFF BREAKDOWN (HOW TO SING RIFFS AND RUNS),youtube.com/watch?v=HXc8xIxETzg,,Julia Broderick,English,Female
ATgj3X43kYI,0,0.39,2.41,122,His Eye Is On The Sparrow (Acapella) - Shelby W,youtube.com/watch?v=ATgj3X43kYI,,Shelby Weisenfeld,English,Female
FGvWe3RSiEI,0,0.01,1.56,115,Dance With My Father - Luther Vandross (Acapella Cover),youtube.com/watch?v=FGvWe3RSiEI,,Katrina Mae,English,Female
tl_hgY-WGgE,0,0,1.12,72,His Eye is on the Sparrow (Lauryn Hill),youtube.com/watch?v=tl_hgY-WGgE,,Chelsea Mohindroo,English,Female
le9fJY975Hg,0,0.01,1.51,110,Jesus Loves Me,youtube.com/watch?v=le9fJY975Hg,,IAmDamien,English,Male
eno5zvoCdmA,0,0.06,2.04,118,Jesus Loves Me Version 2,youtube.com/watch?v=eno5zvoCdmA,,IAmDamien,English,Male
jYHHS5Bm-B4,0,0.09,0.43,34,Happy Birthday!!!!,youtube.com/watch?v=jYHHS5Bm-B4,,IAmDamien,English,Male
J1F8Bvumn0E,0,0.36,2.11,95,Boys II Men x End Of The Road (#IAmDamien Cover),youtube.com/watch?v=J1F8Bvumn0E,,IAmDamien,English,Male
VxpUtBaEt8g,0,0.1,0.47,37,Just The Way You Are by Bruno Mars,youtube.com/watch?v=VxpUtBaEt8g,,IAmDamien,English,Male
xURWVOALbwM,0,0.09,2.21,132,The Lord's Prayer,youtube.com/watch?v=xURWVOALbwM,,IAmDamien,English,Male
VOQGKxY7_y8,0,0.02,1.04,62,You Are So Beautiful,youtube.com/watch?v=VOQGKxY7_y8,,IAmDamien,English,Male
F4KKq1pIYiY,0,0.01,1.24,83,Hero by Mariah Carey,youtube.com/watch?v=F4KKq1pIYiY,,IAmDamien,English,Male
HQ9S6JMmpuU,0,0.1,1.28,78,Silent Night,youtube.com/watch?v=HQ9S6JMmpuU,,IAmDamien,English,Male
jhGWsNAJWIg,0,0.07,2.39,152,Almost Doesn't Count by Brandy,youtube.com/watch?v=jhGWsNAJWIg,,IAmDamien,English,Male
OYKwTNxZTss,0,0.09,3.24,195,Mariah Carey x My All (#IAmDamien Cover),youtube.com/watch?v=OYKwTNxZTss,,IAmDamien,English,Male
8fFIBTu7KP8,0,0.01,1.36,95,Boyz II Men x End Of The Road (#IAmDamien Cover),youtube.com/watch?v=8fFIBTu7KP8,,IAmDamien,English,Male
vHyvdcZ1xGs,0,0.04,0.19,15,Damien Singing Soldier,youtube.com/watch?v=vHyvdcZ1xGs,,IAmDamien,English,Male
WFAyGKUBcBQ,0,0.02,1.04,62,Take My Hand Precious Lord (Beyoncé),youtube.com/watch?v=WFAyGKUBcBQ,,IAmDamien,English,Male
